permanent_ID,Lat,Lon,Hydrologic Group,Elevation (m),Drainage Class,Available Water Storage (0-150cm),Geologic Layer,Slope
122538564,42.92271127,-98.64221749, D,531.3859863, Well drained,15.82999992, Pierre Shale,3.309730053
124597806,42.759303,-98.49632422, A,465.1340027, Excessively drained,9.550000191, Pierre Shale,16.78700066
124603125,42.6936538,-99.01956182, A/D,624.0319824, Poorly drained,12.14999962, Ogallala Group,1.443050027
124603127,42.73536627,-99.02188549, B/D,616.5549927, Poorly drained,10.06999969, Ogallala Group,0.242379993
124603129,42.71817507,-99.03141929, A,620.0700073, Excessively drained,6.96999979, Ogallala Group,0.958723009
124603133,42.66384287,-99.01717282, A,625.3850098, Somewhat poorly drained,11.76000023, Ogallala Group,0.748458982
124603135,42.6478432,-99.05675549, B/D,629.3339844, Poorly drained,10.06999969, Ogallala Group,0.66406697
124603822,42.37854487,-98.25487042, C,552.1380005, Well drained,19.17000008, Ogallala Group,9.73952961
126548328,42.5843742,-103.3471532, D,1289.619995, Well drained,10.98999977, Arikaree Group,28.67040062
126549679,42.7973646,-102.9986568, A,1090.689941, Well drained,20.45000076, Arikaree Group,4.24379015
126550742,42.6807574,-103.1426935, A,1203.910034, Somewhat excessively drained,7.5, White River Group,6.706429958
126550746,42.6751074,-103.1729845, B,1153.310059, Well drained,23.51000023, White River Group,2.084379911
126551904,42.67884387,-103.0809955, B,1205.170044, Well drained,31.5, White River Group,4.876490116
126551968,42.61850567,-103.1816642, D,1273.619995, Well drained,10.98999977, Arikaree Group,28.22570038
126552697,42.629802,-103.2645707, D,1229.339966, Well drained,10.98999977, Arikaree Group,2.941709995
126554666,42.6263954,-103.7568628, A,1363.329956, Somewhat excessively drained,16.70000076, Arikaree Group,2.859380007
126565855,42.67562727,-103.5763709, A,1352.76001, Well drained,15.40999985, Arikaree Group,16.72060013
127732079,42.8369422,-101.0203707, A,859.0499878, Excessively drained,9.670000076, Ogallala Group,0.554190993
127732081,42.79777807,-101.0505867, A,815.6079712, Excessively drained,9.670000076, Ogallala Group,2.821160078
127732189,42.79539587,-100.9862051, A,804.5310059, Moderately well drained,17.02000046, Arikaree Group,0.0484659
127732190,42.794609,-100.972368, A,801.2109985, Moderately well drained,17.02000046, Arikaree Group,5.411119938
127732296,42.7858312,-100.9313325, A/D,792.2600098, Very poorly drained,14.84000015, Ogallala Group,2.238189936
127732298,42.78171447,-100.9158669, A,801.8439941, Excessively drained,9.670000076, Ogallala Group,9.283129692
127732387,42.9055788,-100.4006824, A,743.4310303, Excessively drained,12.55000019, Ogallala Group,13.1303997
127733870,42.47882767,-99.72413669, A,744.7609863, Excessively drained,10.47000027, Ogallala Group,4.862969875
127735184,42.7766626,-100.8637644, A,777.5750122, Moderately well drained,16.54999924, Ogallala Group,9.018959999
127735819,42.8495676,-100.1999813, A,683.6989746, Excessively drained,13.03999996, Ogallala Group,2.252830029
127735820,42.84905307,-100.2343263, A,710.5700073, Excessively drained,9.670000076, Ogallala Group,12.85400009
127735821,42.84857567,-100.2339754, A,714.9619751, Excessively drained,9.670000076, Ogallala Group,21.8458004
127735822,42.84338947,-100.2154949, A,706.6640015, Excessively drained,9.539999962, Ogallala Group,14.76410007
127736807,42.67525247,-99.27384222, A,663.0999756, Excessively drained,11.68000031, Ogallala Group,9.629150391
127736808,42.6790854,-99.26249329, A,660.4509888, Excessively drained,11.68000031, Ogallala Group,4.593929768
127736809,42.7024912,-99.26952329, A,652.6660156, Excessively drained,13.26000023, Ogallala Group,3.550339937
127736810,42.7128902,-99.29656162, A,634.8519897, Excessively drained,11.11999989, Ogallala Group,9.69244957
127736811,42.71402747,-99.27620069, A,649.9000244, Excessively drained,11.11999989, Ogallala Group,2.894279957
127736812,42.70536407,-99.30018862, A,644.6129761, Excessively drained,10.81000042, Ogallala Group,1.455960035
127736813,42.7191768,-99.30690149, A,647.9689941, Excessively drained,11.11999989, Ogallala Group,12.81680012
127736814,42.739127,-99.25103589, A,643.9819946, Somewhat poorly drained,10.39000034, Ogallala Group,2.526170015
127736816,42.70249327,-99.34863642, A,664.6810303, Excessively drained,9.800000191, Ogallala Group,0.770991981
127736817,42.707174,-99.35446749, A,660.0109863, Well drained,12.65999985, Ogallala Group,1.086490035
127736818,42.7026522,-99.32408902, A/D,658.7559814, Very poorly drained,12.35000038, Ogallala Group,1.552369952
127736819,42.70775807,-99.31868582, A,653.9219971, Well drained,12.65999985, Ogallala Group,1.125319958
127736820,42.6935202,-99.33907562, C,669.322998, Somewhat poorly drained,13.68999958, Ogallala Group,1.258110046
127736821,42.7237386,-99.32049682, A,640.7269897, Excessively drained,9.800000191, Pierre Shale,2.743700027
127736822,42.73034227,-99.32523362, A,628.3549805, Excessively drained,9.800000191, Pierre Shale,2.351039886
127736826,42.74763487,-99.32520009, D,623.473999, Well drained,10.02000046, Pierre Shale,1.505239964
127737168,42.780262,-100.0234069, A,692.3660278, Excessively drained,10.47000027, White River Group,7.88820982
127740260,42.7021656,-99.11252862, A,634.5679932, Moderately well drained,10.14000034, Ogallala Group,2.525700092
127740296,42.7409776,-99.17284922, A,640.065979, Excessively drained,10.56000042, Ogallala Group,1.427850008
127740754,42.92148487,-100.5481381, A,780.7219849, Excessively drained,9.670000076, Ogallala Group,0.396007001
127741571,42.82484707,-100.5325625, A,754.7039795, Excessively drained,9.670000076, Ogallala Group,14.85560036
127741573,42.85558827,-100.5137421, A,739.7639771, Excessively drained,9.239999771, Ogallala Group,11.61450005
127741906,42.78937267,-100.6270249, A,773.9520264, Excessively drained,9.670000076, Ogallala Group,2.543390036
127743230,42.8213232,-99.40265189, A/D,637.5939941, Poorly drained,12.89000034, Ogallala Group,1.686720014
128445407,42.80944127,-97.74441929, D,453.5799866, Well drained,3.99000001, Pierre Shale,15.38809967
128446510,42.5053258,-97.89431463, A,478.0150146, Excessively drained,9.720000267, Ogallala Group,1.503859997
128459654,42.8372552,-97.85451343, B,384.0400085, Well drained,23.93000031, Niobrara Formation,1.734789968
149160169,42.39674807,-103.5728801, A/D,1312.540039, Very poorly drained,15, Ogallala Group,1.698789954
122536244,42.91867287,-98.53015182, D,499.7380066, Well drained,10.71000004, Ogallala Group,2.243740082
126548327,42.58540387,-103.3429947, D,1290.569946, Well drained,10.98999977, Arikaree Group,9.419870377
126551899,42.73694847,-103.0549051, D,1174.290039, Well drained,10.98999977, White River Group,14.53009987
126551903,42.68368167,-103.0161117, D,1212.670044, Well drained,10.98999977, Arikaree Group,19.25530052
124602565,42.79831527,-98.67668282, D,471.2250061, Well drained,3.99000001, Pierre Shale,7.371930122
124603126,42.7349056,-99.02330829, B/D,616.7020264, Poorly drained,10.06999969, Ogallala Group,0.85166198
124603128,42.7179198,-99.04296689, A,607.8800049, Excessively drained,6.96999979, Ogallala Group,1.080450058
124603130,42.69311507,-99.08970409, A,627.882019, Excessively drained,6.96999979, Ogallala Group,7.959109783
124603132,42.67065327,-99.07277749, A,633.4089966, Excessively drained,9.550000191, Ogallala Group,1.543319941
124603134,42.65336587,-99.06976282, B/D,634.4689941, Poorly drained,10.06999969, Ogallala Group,2.457420111
124603136,42.64372547,-99.07229762, B/D,636.684021, Poorly drained,10.06999969, Ogallala Group,0.283441007
126551971,42.6207632,-103.1852772, D,1255.410034, Well drained,10.98999977, Arikaree Group,3.477469921
126552443,42.6562796,-103.2580413, D,1199.550049, Well drained,10.98999977, Arikaree Group,10.9708004
126552696,42.64966587,-103.2655914, D,1183.439941, Well drained,10.98999977, White River Group,32.95220184
